iter	Passed	Remaining
385	472	752
386	473	750
387	475	749
388	476	748
389	477	747
390	478	745
391	479	744
392	480	742
393	482	741
394	483	740
395	484	739
396	485	737
397	486	736
398	488	735
399	489	733
400	490	732
401	491	731
402	492	729
403	493	728
404	494	726
405	495	725
406	496	724
407	498	722
408	499	721
409	500	719
410	501	719
411	502	717
412	503	716
413	505	714
414	506	713
415	507	712
416	508	710
417	509	709
418	510	708
419	511	706
420	512	705
421	513	703
422	515	702
423	516	701
424	517	700
425	518	699
426	520	698
427	521	697
428	522	695
429	524	694
430	525	693
431	526	692
432	527	691
433	529	690
434	530	688
435	531	687
436	532	685
437	533	684
438	534	683
439	535	682
440	537	680
441	538	679
442	539	678
443	540	677
444	541	675
445	543	674
446	544	673
447	545	672
448	546	670
449	547	669
450	548	668
451	550	666
452	551	665
453	552	664
454	553	663
455	554	661
456	555	660
457	556	659
458	558	657
459	559	656
460	560	654
461	561	653
462	562	652
463	563	651
464	564	649
465	565	648
466	566	646
467	567	645
468	568	644
469	569	642
470	571	641
471	572	640
472	573	639
473	574	637
474	575	636
475	576	634
476	577	633
477	579	632
478	580	630
479	581	629
480	582	628
481	583	626
482	584	625
483	585	624
484	586	623
485	587	621
486	589	620
487	590	619
488	591	618
489	592	616
490	593	615
491	594	614
492	595	612
493	597	611
494	598	610
495	599	609
496	600	607
497	601	606
498	602	605
499	603	603
500	604	602
501	606	601
502	607	599
503	608	598
504	609	597
505	610	595
506	611	594
507	612	593
508	613	591
509	614	590
510	616	589
511	617	588
512	618	587
513	619	586
514	620	584
515	622	583
516	623	582
517	624	581
518	625	579
519	626	578
520	627	577
521	629	576
522	629	574
523	630	573
524	632	571
525	633	570
526	634	569
527	635	567
528	636	566
529	637	565
530	638	564
531	639	562
532	640	561
533	641	560
534	643	558
535	644	557
536	645	556
537	646	554
538	647	553
539	648	552
540	649	551
541	650	549
542	651	548
543	652	547
544	653	545
545	655	544
546	656	543
547	657	542
548	658	540
549	659	539
550	660	538
551	661	537
552	663	536
553	664	534
554	665	533
555	666	532
556	668	531
557	669	530
558	670	528
559	671	527
560	672	526
561	673	524
562	674	523
563	675	522
564	677	521
565	678	520
566	679	518
567	680	517
568	681	516
569	682	515
570	683	513
571	684	512
572	685	511
573	687	509
574	688	508
575	689	507
576	690	506
577	691	504
578	692	503
579	693	502
580	694	501
581	696	499
582	697	498
583	698	497
584	699	496
585	700	494
586	701	493
587	702	492
588	703	491
589	705	489
590	706	488
591	707	487
592	708	486
593	709	485
594	710	483
595	711	482
596	713	481
597	714	480
598	715	479
599	716	477
600	717	476
601	719	475
602	720	474
603	721	473
604	723	472
605	724	470
606	725	469
607	726	468
608	727	467
609	728	465
610	729	464
611	730	463
612	731	461
613	732	460
614	733	459
615	734	458
616	736	456
617	737	455
618	738	454
619	739	453
620	740	452
621	741	450
622	743	449
623	744	448
624	745	447
625	746	445
626	747	444
627	748	443
628	749	442
629	750	440
630	752	439
631	753	438
632	754	437
633	755	436
634	756	434
635	757	433
636	758	432
637	759	431
638	760	429
639	761	428
640	763	427
641	764	426
642	765	424
643	766	423
644	767	422
645	768	421
646	769	419
647	770	418
648	771	417
649	772	416
650	773	414
651	775	413
652	776	412
653	777	411
654	778	409
655	779	408
656	780	407
657	781	406
658	782	405
659	783	403
660	784	402
661	786	401
662	787	400
663	788	398
664	789	397
665	790	396
666	791	395
667	792	393
668	793	392
669	794	391
670	795	390
671	796	388
672	797	387
673	798	386
674	799	384
675	800	383
676	801	382
677	802	381
678	803	380
679	805	378
680	806	377
681	807	376
682	808	375
683	809	374
684	810	372
685	811	371
686	813	370
687	814	369
688	815	368
689	816	366
690	817	365
691	819	364
692	820	363
693	821	362
694	822	360
695	823	359
696	825	358
697	826	357
698	827	356
699	828	354
700	829	353
701	830	352
702	831	351
703	832	349
704	833	348
705	834	347
706	835	346
707	836	345
708	837	343
709	839	342
710	840	341
711	841	340
712	841	338
713	842	337
714	843	336
715	845	335
716	846	334
717	847	332
718	848	331
719	849	330
720	850	329
721	851	327
722	852	326
723	853	325
724	855	324
725	856	323
726	857	321
727	858	320
728	859	319
729	860	318
730	861	317
731	863	315
732	864	314
733	865	313
734	866	312
735	867	311
736	868	310
737	870	308
738	871	307
739	872	306
740	873	305
741	874	304
742	875	302
743	877	301
744	878	300
745	879	299
746	880	298
747	881	297
748	882	295
749	883	294
750	884	293
751	886	292
752	887	291
753	888	289
754	889	288
755	890	287
756	891	286
757	892	285
758	894	283
759	895	282
760	896	281
761	897	280
762	898	279
763	899	277
764	900	276
765	901	275
766	902	274
767	904	273
768	905	271
769	906	270
770	907	269
771	908	268
772	909	267
773	910	265
774	912	264
775	913	263
776	914	262
777	915	261
778	917	260
779	918	258
780	919	257
781	920	256
782	921	255
783	923	254
784	924	253
785	925	251
786	926	250
787	927	249
788	928	248
789	930	247
790	931	246
791	932	244
792	933	243
793	934	242
794	935	241
795	936	240
796	937	238
797	938	237
798	940	236
799	941	235
800	942	234
801	943	232
802	944	231
803	945	230
804	946	229
805	948	228
806	949	226
807	950	225
808	951	224
809	952	223
810	953	222
811	954	220
812	955	219
813	956	218
814	957	217
815	958	216
816	959	214
817	960	213
818	961	212
819	962	211
820	963	210
821	964	208
822	965	207
823	967	206
824	968	205
825	969	204
826	970	202
827	971	201
828	972	200
829	973	199
830	974	198
831	976	197
832	977	195
833	978	194
834	979	193
835	980	192
836	982	191
837	983	190
838	984	188
839	985	187
840	986	186
841	987	185
842	988	184
843	989	182
844	990	181
845	991	180
846	993	179
847	994	178
848	995	177
849	996	175
850	997	174
851	998	173
852	1000	172
853	1001	171
854	1002	169
855	1003	168
856	1004	167
857	1005	166
858	1007	165
859	1008	164
860	1009	162
861	1010	161
862	1011	160
863	1012	159
864	1013	158
865	1015	157
866	1016	155
867	1017	154
868	1018	153
869	1020	152
870	1021	151
871	1022	150
872	1023	148
873	1024	147
874	1026	146
875	1027	145
876	1028	144
877	1029	143
878	1030	141
879	1031	140
880	1032	139
881	1034	138
882	1035	137
883	1036	136
884	1037	134
885	1039	133
886	1040	132
887	1041	131
888	1042	130
889	1044	129
890	1045	127
891	1046	126
892	1047	125
893	1048	124
894	1049	123
895	1051	122
896	1052	120
897	1053	119
898	1054	118
899	1055	117
900	1056	116
901	1057	114
902	1059	113
903	1060	112
904	1061	111
905	1062	110
906	1063	109
907	1064	107
908	1066	106
909	1067	105
910	1068	104
911	1069	103
912	1070	102
913	1071	100
914	1072	99
915	1074	98
916	1075	97
917	1076	96
918	1077	94
919	1078	93
920	1079	92
921	1080	91
922	1081	90
923	1082	89
924	1083	87
925	1084	86
926	1086	85
927	1087	84
928	1088	83
929	1089	81
930	1090	80
931	1091	79
932	1092	78
933	1093	77
934	1094	76
935	1095	74
936	1096	73
937	1097	72
938	1099	71
939	1100	70
940	1101	69
941	1102	67
942	1103	66
943	1104	65
944	1105	64
945	1106	63
946	1107	61
947	1108	60
948	1109	59
949	1110	58
950	1112	57
951	1113	56
952	1114	54
953	1116	53
954	1117	52
955	1118	51
956	1119	50
957	1120	49
958	1122	47
959	1123	46
960	1124	45
961	1125	44
962	1126	43
963	1127	42
964	1128	40
965	1130	39
966	1131	38
967	1132	37
968	1133	36
969	1134	35
970	1135	33
971	1137	32
972	1138	31
973	1139	30
974	1140	29
975	1141	28
976	1142	26
977	1143	25
978	1144	24
979	1145	23
980	1146	22
981	1147	21
982	1149	19
983	1150	18
984	1151	17
985	1152	16
986	1153	15
987	1154	14
988	1155	12
989	1156	11
990	1157	10
991	1158	9
992	1160	8
993	1161	7
994	1162	5
995	1163	4
996	1164	3
997	1165	2
998	1166	1
999	1167	0
